Epoch,Avg_Train_Loss,Avg_Val_Loss,Avg_Train_Accuracy,Avg_Val_Accuracy
1,0.6739434,0.66918033,0.49698234,0.50894016
2,0.6628402,0.6623505,0.49190295,0.50894016
3,0.65261996,0.6396865,0.5410118,0.5335666
4,0.6334223,0.61062294,0.5711457,0.64936256
5,0.6021933,0.6739714,0.612647,0.5645112
6,0.5683465,0.6072681,0.6386134,0.6232443
7,0.5545017,0.589527,0.64769536,0.632727
8,0.55461365,0.5606884,0.6372781,0.6725493
9,0.54996157,0.5552308,0.6414761,0.69062984
10,0.5439046,0.54909974,0.6447984,0.6904646
11,0.51906365,0.5308678,0.6639318,0.71360236
12,0.52904016,0.57470894,0.66687125,0.64930576
13,0.69384533,0.6614871,0.56731737,0.53713244
14,0.64549935,0.64428496,0.52572745,0.5260158
15,0.62765485,0.6589345,0.56405985,0.5308705
16,0.60859174,0.6137587,0.59602594,0.6029248
17,0.54978883,0.5662736,0.64300174,0.6683115
18,0.54274166,0.54060495,0.6515126,0.69945145
19,0.5780261,0.56757045,0.63683367,0.6829301
20,0.55913264,0.5896138,0.6418803,0.63980967
21,0.5404586,0.5523538,0.65474945,0.67652273
22,0.52669173,0.5389907,0.66460294,0.69044423
23,0.5187806,0.5644548,0.66863817,0.6685655
24,0.52186745,0.5492251,0.6674019,0.66854155
25,0.49337348,0.49207348,0.6866005,0.72743
26,0.46163213,0.4804039,0.70143235,0.7333182
27,0.45132554,0.47351116,0.70752203,0.735534
28,0.43695152,0.45756817,0.7151134,0.7428058
29,0.41445705,0.41103065,0.7196421,0.76280814
30,0.41391823,0.41963977,0.71786094,0.7562969
31,0.40721664,0.41405022,0.7176903,0.758887
32,0.39799953,0.42345566,0.72749215,0.75783193
33,0.39267388,0.40088764,0.73092836,0.774943
34,0.38928053,0.3728141,0.72545993,0.7767923
35,0.38016537,0.36718994,0.734084,0.7880207
36,0.36867917,0.35525596,0.7339289,0.79281884
37,0.37805584,0.3594669,0.73283505,0.79425204
38,0.3656461,0.36542195,0.73713136,0.7885894
39,0.36823446,0.36092275,0.7413873,0.7947178
40,0.36891118,0.36367667,0.7335025,0.7920489
41,0.36097825,0.34784776,0.7404902,0.7996154
42,0.3602475,0.3489099,0.74174404,0.79637086
43,0.36233404,0.34648204,0.73688334,0.7973729
44,0.36046338,0.34919834,0.7303057,0.7966448
45,0.35554096,0.34441376,0.7455164,0.7957258
46,0.35288912,0.3385074,0.73342776,0.8022644
47,0.34763962,0.3267284,0.74905455,0.8051591
48,0.3461579,0.33407944,0.74747294,0.80646294
49,0.34340417,0.3313222,0.7493286,0.80667484
50,0.3425424,0.31993353,0.7486123,0.811175
51,0.33813176,0.31811598,0.753,0.8098346
52,0.32869068,0.3249376,0.75973094,0.8034713
53,0.33386895,0.3178084,0.7487522,0.80926967
54,0.3345324,0.31391168,0.75606674,0.810184
55,0.33672756,0.32109836,0.74710494,0.8068132
56,0.33135247,0.310539,0.75387985,0.8104991
57,0.3328944,0.3191871,0.751768,0.81430364
58,0.32927442,0.31744337,0.75277287,0.81459534
59,0.32969454,0.30975303,0.7536818,0.81426704
60,0.32338536,0.3082782,0.75813526,0.8115837
61,0.31595862,0.30149198,0.7617672,0.8175988
62,0.3102301,0.29138958,0.7598064,0.8226
63,0.30005383,0.29193047,0.7643626,0.82030654
64,0.31267044,0.29078946,0.759938,0.8225084
65,0.3114277,0.29222578,0.76647544,0.8222935
66,0.29910323,0.29161006,0.7708637,0.8218871
67,0.297535,0.31256494,0.7698498,0.80910087
68,0.2996821,0.2787337,0.77138543,0.8287846
69,0.2936592,0.31293905,0.7734419,0.8073381
70,0.29560795,0.28838545,0.77348876,0.8205794
71,0.30202445,0.2814982,0.76727164,0.8265874
72,0.30702576,0.323733,0.7682104,0.8034847
73,0.29103637,0.27963364,0.77736294,0.82691824
74,0.28091726,0.27936804,0.77985525,0.8264071
75,0.28147107,0.2807603,0.77992034,0.8231926
76,0.2927092,0.27930182,0.7768965,0.825678
77,0.273485,0.28230932,0.7770195,0.8237102
78,0.27284223,0.2723801,0.78148985,0.82705635
79,0.2725537,0.2901513,0.77927566,0.8201041
80,0.27267066,0.27150184,0.78412867,0.8284725
81,0.27688843,0.28405797,0.7771335,0.8195236
82,0.28226468,0.27960727,0.7792903,0.8240503
83,0.2623176,0.28872395,0.7903155,0.8234303
84,0.285255,0.28739858,0.78207564,0.8234085
85,0.25785026,0.26872188,0.7903127,0.83039474
86,0.2615586,0.26472545,0.79262465,0.83213365
87,0.24753366,0.28218165,0.7961826,0.8270571
88,0.24127789,0.28819835,0.79341185,0.82223463
89,0.25071287,0.2794264,0.78394186,0.82074785
90,0.2591031,0.27059057,0.7874161,0.8325161
91,0.2564889,0.26044172,0.79723567,0.8325174
92,0.24060848,0.2692945,0.7948123,0.8323942
93,0.23365058,0.28349963,0.80675113,0.82806635
94,0.23966554,0.27601397,0.79998904,0.82956517
95,0.23368068,0.2800271,0.79326034,0.82792515
96,0.26023155,0.2713535,0.788918,0.8265926
97,0.26456833,0.32477692,0.78978527,0.8056674
98,0.25009036,0.2771774,0.79448175,0.82752454
99,0.24392976,0.29803443,0.7991716,0.81995255
100,0.26544094,0.26063082,0.79300267,0.8333076
101,0.24263968,0.2640922,0.8016211,0.8367499
